period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_added,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,ttft_headroom_pct,rate_limited_users,rate_limit_events,admission_blocked_events,dispatch_delay_avg,dispatch_delay_max,in_flight_prefilling,in_flight_decoding
28,1775089029.9754224,1775089059.9754224,43,11,4,7,5,5,2,43,42,1,0.23333333333333334,10876.8,118.03333333333333,0.9058973312377929,0.9310910701751709,1.3618216514587402,1.3674206733703613,0.9903846153846154,121943,0,0,28.231428146362305,98.25731925022455,3136,90.94102668762207,0,0,0,18.644535810389417,30.694210529327393,9,34
29,1775089059.9754224,1775089089.9754224,49,4,11,35,6,6,29,49,35,14,1.1666666666666667,33745.63333333333,432.1333333333333,5.9987987875938416,6.615453362464905,9.032071197032929,9.230520837306976,0.898570886556216,125526,0,0,180.43716406822205,88.65175068753321,102656,40.012012124061584,1,1,0,0.17388125828334264,5.026790618896484,2,47
30,1775089089.9754224,1775089119.9754224,7,15,18,64,16,16,48,7,6,1,2.1333333333333333,59090.4,707.9666666666667,1.2668180730607774,0.6880848407745361,3.4857127189636126,8.571087779998766,1.0,125526,0,0,189.8489544391632,71.2350069031571,0,87.33181926939221,31,31,0,0.0002613609487360174,0.0028862953186035156,0,7
31,1775089119.9754224,1775089149.9754224,0,12,0,7,0,0,7,0,0,0,0.23333333333333334,0.0,180.06666666666666,0.0,0.0,0.0,0.0,0.0,125401,0,0,0.0,100.0,0,0.0,40,40,0,0.0,0.0,0,0
32,1775089149.9754224,1775089179.9754224,0,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125182,0,0,0.0,100.0,0,0.0,49,49,0,0.0,0.0,0,0
33,1775089179.9754224,1775089209.9754224,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125182,0,0,0.0,100.0,0,0.0,50,50,0,0.0,0.0,0,0
34,1775089209.9754224,1775089239.9754224,0,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125182,0,0,0.0,100.0,0,0.0,49,49,0,0.0,0.0,0,0
35,1775089239.9754224,1775089269.9754224,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122150,0,0,0.0,100.0,0,0.0,50,50,0,0.0,0.0,0,0
36,1775089269.9754224,1775089299.9754224,4,9,22,42,42,42,0,4,4,0,1.4,122056.0,352.3333333333333,1.3081067630222865,1.004072904586792,3.429709470272061,3.8504019117355335,0.9425948592411261,125484,0,0,396.0833902359009,0.0,210112,86.91893236977715,38,38,0,79.94431996852794,180.49716806411743,0,4
37,1775089299.9754224,1775089329.9754224,0,7,1,5,1,1,4,0,0,0,0.16666666666666666,5445.033333333334,136.9,0.7034907341003418,0.7034907341003418,0.7034907341003418,0.7034907341003418,1.0,125484,0,0,5.621813058853149,97.32294616245089,0,92.96509265899658,44,44,0,9.965896606445312e-05,9.965896606445312e-05,0,0
