period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_added,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,ttft_headroom_pct,rate_limited_users,rate_limit_events,admission_blocked_events,dispatch_delay_avg,dispatch_delay_max,in_flight_prefilling,in_flight_decoding
21,1775083683.8770206,1775083713.8770206,38,11,8,40,6,6,34,38,23,15,1.3333333333333333,23863.3,312.9,2.544850617647171,0.6307049989700317,7.412442529201508,7.458058993816375,0.8151493471650868,126121,0,0,190.78566336631775,87.02138344446819,132288,74.55149382352829,11,11,0,0.012031119445274616,0.10645079612731934,1,37
22,1775083713.8770206,1775083743.8770206,3,14,10,47,9,9,38,3,3,0,1.5666666666666667,27542.966666666667,694.3333333333334,0.4337946891784668,0.4190175533294678,0.6855792880058287,0.7349910712242127,1.0,126121,0,0,74.33383274078369,85.4247386782777,0,95.66205310821533,42,42,0,0.00015465418497721353,0.0004987716674804688,0,3
23,1775083743.8770206,1775083773.8770206,0,7,0,3,0,0,3,0,0,0,0.1,0.0,33.13333333333333,0.0,0.0,0.0,0.0,0.0,126121,0,0,0.0,100.0,0,0.0,51,51,0,0.0,0.0,0,0
24,1775083773.8770206,1775083803.8770206,0,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126121,0,0,0.0,100.0,0,0.0,55,55,0,0.0,0.0,0,0
25,1775083803.8770206,1775083833.8770206,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126121,0,0,0.0,100.0,0,0.0,56,56,0,0.0,0.0,0,0
26,1775083833.8770206,1775083863.8770206,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126121,0,0,0.0,100.0,0,0.0,56,56,0,0.0,0.0,0,0
27,1775083863.8770206,1775083893.8770206,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126121,0,0,0.0,100.0,0,0.0,56,56,0,0.0,0.0,0,0
28,1775083893.8770206,1775083923.8770206,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126121,0,0,0.0,100.0,0,0.0,56,56,0,0.0,0.0,0,0
29,1775083923.8770206,1775083953.8770206,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126121,0,0,0.0,100.0,0,0.0,56,56,0,0.0,0.0,0,0
30,1775083953.8770206,1775083983.8770206,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126121,0,0,0.0,100.0,0,0.0,56,56,0,0.0,0.0,0,0
31,1775083983.8770206,1775084013.8770206,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125843,0,0,0.0,100.0,0,0.0,56,56,0,0.0,0.0,0,0
32,1775084013.8770206,1775084043.8770206,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125777,0,0,0.0,100.0,0,0.0,56,56,0,0.0,0.0,0,0
33,1775084043.8770206,1775084073.8770206,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125777,0,0,0.0,100.0,0,0.0,56,56,0,0.0,0.0,0,0
34,1775084073.8770206,1775084103.8770206,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125777,0,0,0.0,100.0,0,0.0,56,56,0,0.0,0.0,0,0
35,1775084103.8770206,1775084133.8770206,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122291,0,0,0.0,100.0,0,0.0,56,56,0,0.0,0.0,0,0
36,1775084133.8770206,1775084163.8770206,5,10,21,38,38,38,0,5,5,0,1.2666666666666666,122391.33333333333,393.53333333333336,1.459209172349227,0.7191061973571777,4.104979562759399,5.659950616359716,0.9407364787111623,124764,0,0,344.1717290878296,23.51739353603787,217536,85.40790827650773,42,42,0,218.62968091077582,420.69054555892944,0,5
37,1775084163.8770206,1775084193.8770206,1,9,10,22,17,17,5,1,1,0,0.7333333333333333,58253.166666666664,304.8666666666667,1.4824414253234863,1.0505890846252441,6.441107320785522,6.668002614974975,0.9102164914465731,123097,0,0,156.55948662757874,47.813504457473755,156864,85.17558574676514,47,47,0,90.11402901013692,420.5124464035034,0,1
38,1775084193.8770206,1775084223.8770206,8,8,18,29,28,28,1,8,8,0,0.9666666666666667,87315.1,215.36666666666667,3.103533148765564,1.0434973239898682,6.775988209247589,7.135308148860932,0.9098086182875859,124996,0,0,227.56835198402405,52.58992666999499,236160,68.96466851234436,41,41,0,189.45770576927396,510.8817274570465,0,8
39,1775084223.8770206,1775084253.8770206,0,8,2,11,3,3,8,0,0,0,0.36666666666666664,6782.133333333333,141.36666666666667,0.29624374707539874,0.2113802433013916,0.505268383026123,0.531391773223877,0.9955947136563876,123427,0,0,22.120882749557495,90.78296552101772,896,97.037562529246,49,49,0,9.34600830078125e-05,0.00011038780212402344,0,0
40,1775084253.8770206,1775084283.8770206,40,7,9,26,26,26,0,40,40,0,0.8666666666666667,84176.96666666666,216.26666666666668,0.78950035572052,0.6401206254959106,0.8963407278060913,4.349555611610413,0.9966537379268385,124888,0,0,110.60879564285278,92.15540456433669,8448,92.1049964427948,9,9,0,129.1509560862584,574.6296536922455,7,33
41,1775084283.8770206,1775084313.8770206,14,15,27,60,26,26,34,14,8,6,2.0,98959.63333333333,575.0,2.6233443444774998,0.6827337741851807,8.289328694343567,9.250691032409668,0.9906624687311308,125114,0,0,365.73862051963806,57.96107810119102,27712,73.766556555225,27,27,0,16.795185579973108,570.924987077713,2,12
42,1775084313.8770206,1775084343.8770206,2,14,5,15,3,3,12,2,0,2,0.5,17864.9,562.4666666666667,0.6698171138763428,0.7390875816345215,0.9547141075134277,0.9748385047912598,1.0,121538,0,0,71.32404565811157,85.14082382122675,0,93.30182886123657,40,40,0,0.00010506312052408855,0.00011467933654785156,0,2
43,1775084343.8770206,1775084373.8770206,48,7,11,24,22,22,2,48,48,0,0.8,66276.56666666667,246.76666666666668,0.6528515707362782,0.600629448890686,1.4492663264274595,1.5455531668663025,0.9694735147319272,121513,0,0,121.499018907547,92.6364230965123,60672,93.47148429263721,0,0,0,53.061049881115764,661.6679110527039,14,34
44,1775084373.8770206,1775084403.8770206,48,7,13,35,7,7,28,48,28,20,1.1666666666666667,40444.53333333333,366.3,4.431772507154024,2.3075294494628906,8.463689804077148,8.521426391601562,0.8618615449556775,122324,0,0,260.1007537841797,84.23631795247395,167552,55.68227492845976,0,0,0,4.314072431836809,150.64183568954468,4,44
45,1775084403.8770206,1775084433.8770206,46,9,17,52,14,14,38,46,36,10,1.7333333333333334,52921.23333333333,423.96666666666664,2.3333772685792713,0.853358268737793,7.093758690357207,7.3977071976661675,0.913259133801113,118151,0,0,196.3958888053894,88.09721886027944,137664,76.66622731420729,0,0,0,0.18055376052856445,3.4987003803253174,0,46
46,1775084433.8770206,1775084463.8770206,43,12,12,35,13,12,23,43,20,23,1.1666666666666667,36425.86666666667,489.26666666666665,3.159665060043335,0.8209049701690674,9.774430418014525,10.574782781600952,0.8620305817564005,117418,0,0,213.72346234321594,87.04706288828994,150720,68.40334939956665,0,0,0,0.014522277947628138,0.09170365333557129,6,37
